restaurant_id,user_id,new_restaurant_id,new_user_id
134,149,35,32
246,149,54,32
149,149,171,32
400,149,174,32
48,149,30,32
87,149,183,32
53,149,135,32
2,149,184,32
198,149,47,32
1,149,80,32
197,149,46,32
192,149,45,32
56,149,185,32
14,149,186,32
104,149,144,32
335,149,187,32
148,149,39,32
205,149,139,32
116,149,145,32
94,149,28,32
386,149,124,32
342,149,188,32
344,149,79,32
453,149,123,32
442,149,154,32
406,149,189,32
6,149,31,32
268,149,163,32
220,149,190,32
351,154,191,33
1,154,80,33
473,154,17,33
114,154,192,33
222,154,97,33
236,154,90,33
101,154,86,33
138,154,193,33
312,154,131,33
61,155,149,34
429,155,194,34
1,155,80,34
10,155,66,34
212,155,112,34
397,155,140,34
339,155,195,34
307,155,196,34
90,155,197,34
113,155,26,34
204,156,198,35
113,156,26,35
262,156,161,35
177,156,41,35
83,156,199,35
56,156,185,35
339,156,195,35
472,156,115,35
312,156,131,35
41,156,3,35
197,156,46,35
25,156,1,35
363,156,158,35
359,156,200,35
396,156,72,35
189,156,44,35
198,156,47,35
52,156,129,35
71,156,94,35
127,156,105,35
479,156,7,35
48,156,30,35
1,156,80,35
364,157,32,36
313,157,60,36
85,157,126,36
480,157,201,36
403,157,136,36
83,157,199,36
397,157,140,36
1,157,80,36
98,157,202,36
164,157,203,36
195,157,204,36
17,157,11,36
284,157,205,36
188,157,137,36
138,157,193,36
330,157,103,36
253,157,4,36
167,157,125,36
357,157,68,36
340,157,120,36
371,157,116,36
211,157,67,36
189,157,44,36
472,157,115,36
263,157,56,36
481,160,18,37
55,160,96,37
5,160,24,37
1,160,80,37
127,160,105,37
371,160,116,37
464,160,206,37
38,160,59,37
205,160,139,37
74,160,207,37
189,160,44,37
17,160,11,37
198,160,47,37
106,160,208,37
230,160,209,37
163,160,128,37
328,160,210,37
424,162,211,38
1,162,80,38
444,162,70,38
397,162,140,38
17,162,11,38
31,163,19,39
1,163,80,39
189,163,44,39
104,164,144,40
17,164,11,40
1,164,80,40
195,164,204,40
419,164,212,40
197,164,46,40
56,164,185,40
186,164,42,40
353,165,213,41
277,165,214,41
158,165,215,41
405,165,81,41
1,165,80,41
352,165,74,41
52,165,129,41
1,170,80,42
177,170,41,42
472,170,115,42
253,170,4,42
17,170,11,42
48,170,30,42
198,170,47,42
67,170,29,42
230,173,209,43
57,173,216,43
444,173,70,43
3,173,119,43
18,173,8,43
258,173,55,43
167,173,125,43
287,173,5,43
113,173,26,43
380,173,152,43
41,173,3,43
211,173,67,43
5,173,24,43
418,173,217,43
1,173,80,43
37,174,218,44
17,174,11,44
55,174,96,44
1,174,80,44
55,175,96,45
52,175,129,45
1,175,80,45
187,176,43,46
357,176,68,46
263,176,56,46
273,176,117,46
397,176,140,46
189,176,44,46
1,176,80,46
302,177,69,47
40,177,63,47
235,177,130,47
178,177,12,47
162,177,95,47
329,177,219,47
262,177,161,47
48,177,30,47
1,177,80,47
446,177,220,47
351,177,191,47
38,177,59,47
212,177,112,47
189,179,44,48
21,179,75,48
1,179,80,48
62,180,221,49
54,180,222,49
56,180,185,49
116,180,145,49
403,180,136,49
432,180,223,49
148,180,39,49
342,180,188,49
14,180,186,49
2,180,184,49
137,180,36,49
204,180,198,49
428,180,224,49
90,180,197,49
7,180,9,49
6,180,31,49
104,180,144,49
307,180,196,49
197,180,46,49
389,180,141,49
17,180,11,49
139,180,37,49
195,180,204,49
98,180,202,49
245,180,53,49
483,180,225,49
15,180,21,49
440,180,226,49
118,180,61,49
258,180,55,49
328,180,210,49
267,180,92,49
318,180,73,49
1,180,80,49
30,180,146,49
198,180,47,49
359,180,200,49
435,180,227,49
209,180,50,49
321,180,138,49
67,180,29,49
21,180,75,49
127,180,105,49
436,180,14,49
49,180,111,49
178,180,12,49
180,180,228,49
298,180,62,49
71,180,94,49
215,180,229,49
25,180,1,49
268,180,163,49
338,180,230,49
200,180,231,49
305,180,232,49
154,180,233,49
296,180,234,49
81,180,235,49
285,180,236,49
171,180,40,49
33,180,2,49
50,180,102,49
220,180,190,49
360,180,114,49
162,180,95,49
38,180,59,49
168,180,157,49
282,180,237,49
37,180,218,49
369,180,99,49
271,180,238,49
129,180,239,49
120,180,240,49
412,180,241,49
86,180,242,49
45,180,121,49
126,180,243,49
187,180,43,49
13,180,244,49
144,180,245,49
446,180,220,49
398,180,101,49
